SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
316484,Cash loans,F,N,Y,0,279000.0,479700.0,50503.5,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.006629,-24044,365243,-3901.0,-4664,,1,0,0,1,0,0,,2.0,2,2,FRIDAY,10,0,0,0,0,0,0,XNA,,0.6417668433585624,0.4830501881366946,0.0553,0.0,0.9841,0.7756,0.0096,0.0,0.1655,0.125,0.1042,0.0298,0.0488,0.0514,0.0,0.0,0.0378,0.0,0.9866,0.7517,0.0096,0.0,0.1379,0.125,0.0417,0.018,0.0331,0.0387,0.0,0.0,0.0375,0.0,0.9866,0.7786,0.0097,0.0,0.1379,0.125,0.1042,0.0304,0.0496,0.0378,0.0,0.0,org spec account,block of flats,0.0344,Block,No,0.0,0.0,0.0,0.0,-525.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
258841,Cash loans,F,Y,N,1,90000.0,479700.0,50503.5,450000.0,Unaccompanied,Commercial associate,Higher education,Married,Rented apartment,0.032561,-9538,-1709,-2026.0,-1262,31.0,1,1,1,1,1,1,Sales staff,3.0,1,1,WEDNESDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.482810117226201,0.5707360050115333,0.1745642655572634,0.0041,0.03,0.9692,0.5784,0.0,0.0,0.069,0.2083,0.25,0.0084,0.0034,0.0273,0.0,0.0433,0.0042,0.0311,0.9692,0.5949,0.0,0.0,0.069,0.2083,0.25,0.0086,0.0037,0.0284,0.0,0.0458,0.0042,0.03,0.9692,0.584,0.0,0.0,0.069,0.2083,0.25,0.0085,0.0034,0.0278,0.0,0.0442,reg oper account,block of flats,0.0362,"Stone, brick",No,0.0,0.0,0.0,0.0,-446.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
215537,Cash loans,F,Y,Y,2,112500.0,284427.0,14652.0,216000.0,,State servant,Secondary / secondary special,Married,With parents,0.00702,-12857,-3148,-3212.0,-4294,28.0,1,1,0,1,0,0,Medicine staff,4.0,2,2,MONDAY,16,0,0,0,0,0,0,Medicine,0.331493188066492,0.6416512048129325,0.4956658291397297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-2065.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0
153328,Cash loans,M,N,Y,0,157500.0,152820.0,12073.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-10339,-457,-4386.0,-1965,,1,1,0,1,0,0,Sales staff,2.0,2,2,MONDAY,10,0,0,0,0,0,0,Trade: type 2,,0.4589614892279022,0.1376544619182607,0.1612,0.1074,0.9866,0.8164,0.1672,0.0664,0.2452,0.2221,0.2638,0.092,0.1288,0.1462,0.012,0.0214,0.0567,0.025,0.9846,0.7975,0.0171,0.0,0.2759,0.1667,0.2083,0.0289,0.0496,0.0399,0.0,0.0,0.1457,0.0884,0.9861,0.8121,0.1022,0.0,0.2759,0.1667,0.2083,0.1056,0.1112,0.1054,0.0,0.0,reg oper spec account,block of flats,0.1771,"Stone, brick",No,1.0,0.0,0.0,0.0,-384.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
186113,Cash loans,F,N,Y,0,315000.0,781920.0,33259.5,675000.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.072508,-17899,-2546,-9859.0,-1082,,1,1,0,1,0,0,,1.0,1,1,FRIDAY,16,0,0,0,0,0,0,Government,0.8803978221511323,0.7422170593754733,0.5585066276769286,0.3299,0.1313,0.9861,0.8096,0.1463,0.3732,0.1607,0.6667,0.7083,0.0,0.2656,0.3498,0.0154,0.0048,0.1429,0.0584,0.9861,0.8171,0.0596,0.1611,0.069,0.6667,0.7083,0.0,0.124,0.1546,0.0039,0.0037,0.2123,0.0837,0.9861,0.8121,0.095,0.24,0.1034,0.6667,0.7083,0.0,0.1736,0.2251,0.0039,0.0036,reg oper account,block of flats,0.1747,Panel,No,1.0,0.0,1.0,0.0,-2489.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
165817,Cash loans,F,Y,Y,1,270000.0,407520.0,26172.0,360000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.0116569999999999,-13323,-2431,-7340.0,-1727,13.0,1,1,0,1,1,1,Sales staff,3.0,1,1,MONDAY,14,1,1,0,0,0,0,Business Entity Type 3,0.2080198244881823,0.459683773852058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-439.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
406584,Cash loans,M,N,Y,1,261000.0,886500.0,45391.5,886500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-14674,-789,-887.0,-3129,,1,1,0,1,0,0,Laborers,3.0,2,2,MONDAY,14,0,0,0,0,1,1,Other,0.1798295042426644,0.6396173118433068,0.7738956942145427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1650.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
164030,Cash loans,F,N,Y,0,135000.0,346500.0,27504.0,346500.0,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,0.018209,-9032,-989,-3880.0,-1720,,1,1,0,1,0,1,,1.0,3,3,WEDNESDAY,8,0,0,0,0,0,0,Kindergarten,0.1821776790420986,0.4877475569842132,0.746300213050371,0.0825,0.078,0.9762,0.6736,0.0327,0.0,0.1379,0.1667,0.0417,0.0374,0.0672,0.0702,0.0,0.0,0.084,0.081,0.9762,0.6864,0.033,0.0,0.1379,0.1667,0.0417,0.0383,0.0735,0.0731,0.0,0.0,0.0833,0.078,0.9762,0.6779999999999999,0.0329,0.0,0.1379,0.1667,0.0417,0.0381,0.0684,0.0715,0.0,0.0,reg oper account,block of flats,0.0552,Panel,No,2.0,0.0,2.0,0.0,-283.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
170139,Cash loans,F,N,Y,0,90000.0,274500.0,21370.5,274500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-12846,-2413,-3865.0,-3866,,1,1,0,1,0,0,,2.0,2,2,THURSDAY,14,0,0,0,0,1,1,Industry: type 12,0.8142588962265261,0.3422099364634598,0.4578995512067301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1547.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
364710,Cash loans,M,Y,N,1,292500.0,1079581.5,55120.5,886500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.010276,-11959,-690,-1476.0,-2874,1.0,1,1,1,1,1,0,,3.0,2,2,WEDNESDAY,9,1,1,0,1,1,0,Construction,0.341444946084564,0.1519657925543893,0.4066174366275036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-278.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
